id,dir_genre1,dir_genre2,dir_genre3,actor1_genre1,actor1_genre2,actor1_genre3,actor2_genre1,actor2_genre2,actor2_genre3
342695,9,11,8,19,19,19,19,19,19
168998,14,3,6,14,3,18,0,8,1
121562,0,16,11,19,19,19,11,4,6
31607,3,6,7,3,6,9,3,18,8
62522,6,3,16,16,6,14,19,19,19
221108,14,3,18,19,19,19,19,19,19
309540,3,18,8,3,18,8,19,19,19
420440,6,17,0,6,1,3,19,19,19
145874,8,1,14,19,19,19,19,19,19
216376,6,14,3,6,9,4,14,6,18
86557,19,19,19,19,19,19,19,19,19
250538,6,9,3,14,3,6,11,18,8
160650,5,9,8,19,19,19,19,19,19
201417,11,6,16,16,0,11,19,19,19
26255,19,19,19,7,8,1,6,14,3
49529,2,7,1,0,16,15,14,6,16
160796,6,18,8,6,0,3,17,6,0
262136,5,18,8,19,19,19,19,19,19
46892,6,4,3,3,18,8,8,16,3
159277,3,18,8,19,19,19,0,1,15
63765,1,14,10,4,1,6,3,4,18
148265,6,9,0,16,0,14,0,3,8
65208,3,12,18,19,19,19,3,18,8
392357,19,19,19,19,19,19,19,19,19
372625,3,6,18,19,19,19,6,14,3
245992,6,3,13,18,8,1,19,19,19
43337,8,6,13,19,19,19,19,19,19
376026,19,19,19,19,19,19,19,19,19
275142,6,3,5,14,3,5,19,19,19
442879,19,19,19,19,19,19,19,19,19
55362,2,7,3,2,18,8,2,7,3
236182,2,3,12,2,3,18,19,19,19
128396,2,18,8,2,6,7,6,9,13
115054,15,3,6,19,19,19,19,19,19
94630,6,14,17,6,10,17,19,19,19
265023,6,14,3,19,19,19,19,19,19
361411,18,8,1,19,19,19,19,19,19
369237,18,8,1,1,5,18,19,19,19
74053,16,0,3,0,16,8,6,18,8
358748,18,8,1,19,19,19,19,19,19
121361,6,9,14,19,19,19,19,19,19
441732,14,3,5,19,19,19,19,19,19
266432,19,19,19,19,19,19,19,19,19
336411,19,19,19,19,19,19,19,19,19
162684,2,7,18,19,19,19,19,19,19
410251,6,8,12,19,19,19,8,12,6
396104,3,5,11,19,19,19,19,19,19
429850,16,4,18,16,15,6,6,8,3
289072,6,14,3,14,6,3,6,10,17
49082,19,19,19,19,19,19,19,19,19
362227,19,19,19,19,19,19,19,19,19
36549,19,19,19,18,8,1,16,13,11
110262,19,19,19,6,18,8,6,18,8
415817,3,7,16,0,6,16,3,18,8
33060,19,19,19,19,19,19,6,16,3
422560,6,18,8,19,19,19,19,19,19
142048,6,17,14,19,19,19,19,19,19
145990,19,19,19,19,19,19,19,19,19
45216,19,19,19,3,14,12,0,3,6
83403,16,11,18,3,18,8,14,3,6
214694,19,19,19,6,14,18,19,19,19
38010,6,3,16,6,0,12,19,19,19
76329,6,3,14,6,4,16,6,3,4
58051,3,14,6,0,6,16,3,9,12
294477,19,19,19,6,18,8,6,18,8
140519,19,19,19,15,14,3,18,8,1
428614,6,9,8,19,19,19,18,8,1
426780,9,7,1,19,19,19,9,6,14
185942,6,1,3,16,6,3,6,9,16
73787,19,19,19,19,19,19,1,3,7
58529,18,8,1,19,19,19,19,19,19
240488,3,4,0,3,6,7,19,19,19
62489,19,19,19,19,19,19,19,19,19
210735,19,19,19,19,19,19,19,19,19
46095,6,16,0,4,6,13,13,12,18
413721,19,19,19,19,19,19,19,19,19
193450,12,18,8,19,19,19,19,19,19
347310,19,19,19,19,19,19,19,19,19
54345,1,3,7,1,3,7,19,19,19
6366,6,18,8,19,19,19,19,19,19
76833,11,6,16,1,8,0,3,6,18
5066,3,16,6,3,16,13,3,18,8
186074,16,14,13,19,19,19,19,19,19
446023,16,15,13,16,2,4,9,6,8
90686,19,19,19,19,19,19,19,19,19
304850,19,19,19,19,19,19,19,19,19
235586,19,19,19,19,19,19,19,19,19
128776,6,9,14,6,3,14,6,14,3
177537,19,19,19,19,19,19,18,8,1
391747,19,19,19,9,3,6,19,19,19
76775,6,14,3,6,14,1,6,16,1
218520,3,6,14,1,18,8,6,0,3
52442,19,19,19,0,8,14,14,6,18
356385,3,12,18,19,19,19,6,18,8
288423,3,8,11,6,3,11,6,18,8
294621,3,4,18,6,16,14,19,19,19
71266,19,19,19,19,19,19,19,19,19
335707,19,19,19,18,8,1,19,19,19
393571,19,19,19,19,19,19,19,19,19
159151,19,19,19,19,19,19,19,19,19
398809,5,18,8,19,19,19,19,19,19
283910,0,1,13,6,14,10,19,19,19
433967,0,14,6,18,8,1,19,19,19
377515,6,18,8,6,5,10,19,19,19
226872,19,19,19,19,19,19,19,19,19
133653,5,6,18,19,19,19,19,19,19
25556,19,19,19,19,19,19,19,19,19
203464,19,19,19,19,19,19,19,19,19
129004,3,18,8,3,16,11,3,6,18
46250,19,19,19,0,3,8,15,6,7
71743,19,19,19,14,6,18,19,19,19
95942,6,1,4,6,18,16,18,0,1
79572,3,4,18,4,0,3,3,6,18
285842,9,16,14,6,10,3,6,17,18
84131,0,7,8,18,8,1,19,19,19
315133,6,3,18,19,19,19,6,18,8
28063,11,6,16,19,19,19,19,19,19
386792,19,19,19,19,19,19,19,19,19
372316,19,19,19,18,8,1,14,18,8
153854,6,18,8,19,19,19,19,19,19
222570,19,19,19,16,13,11,19,19,19
90736,19,19,19,19,19,19,19,19,19
163238,5,18,8,19,19,19,19,19,19
28983,0,16,6,6,14,0,6,14,3
85015,6,0,3,4,6,18,3,4,6
427810,3,18,8,3,1,16,18,8,1
147862,18,4,6,19,19,19,18,13,3
151019,6,10,3,19,19,19,19,19,19
55958,19,19,19,0,8,2,19,19,19
365539,19,19,19,19,19,19,19,19,19
124082,5,6,14,19,19,19,16,4,18
372640,19,19,19,3,6,16,3,18,8
52884,6,9,11,3,18,8,8,14,3
398386,5,18,8,19,19,19,19,19,19
47774,19,19,19,19,19,19,19,19,19
295443,6,18,8,19,19,19,6,18,8
165065,6,0,14,0,3,8,0,8,1
381375,19,19,19,14,3,6,19,19,19
347712,18,8,1,0,6,9,9,14,4
159111,6,10,3,6,18,8,19,19,19
264205,6,4,18,19,19,19,19,19,19
41668,3,11,7,3,11,7,3,18,8
352296,5,18,8,5,18,8,19,19,19
422390,19,19,19,19,19,19,4,18,8
13552,6,3,14,6,3,16,16,11,15
306008,19,19,19,0,6,16,19,19,19
86042,3,6,9,3,18,8,19,19,19
409975,19,19,19,19,19,19,19,19,19
372156,19,19,19,19,19,19,19,19,19
46588,3,14,6,3,6,9,2,18,8
56488,3,12,18,19,19,19,19,19,19
232260,6,4,0,19,19,19,0,4,8
44625,3,18,8,3,14,18,0,16,11
42635,6,0,1,6,16,14,16,11,18
68804,6,10,3,6,10,18,3,18,8
34094,19,19,19,19,19,19,19,19,19
44745,0,16,4,16,6,0,11,6,16
345500,18,6,4,18,12,1,18,6,1
134397,19,19,19,19,19,19,19,19,19
203048,3,18,8,3,0,8,19,19,19
453,6,3,16,6,0,16,6,16,3
337987,3,6,18,6,17,3,6,3,14
287821,19,19,19,19,19,19,19,19,19
6114,6,4,14,6,16,14,6,14,0
173813,19,19,19,15,8,6,6,14,8
35068,6,3,0,6,3,16,19,19,19
56042,19,19,19,19,19,19,19,19,19
287006,19,19,19,6,14,13,19,19,19
352711,14,12,6,19,19,19,19,19,19
230440,6,0,16,19,19,19,19,19,19
79357,14,3,18,6,3,9,0,1,4
199263,6,14,3,19,19,19,19,19,19
281257,0,16,15,19,19,19,11,16,14
372151,6,14,13,16,3,6,6,9,3
43628,5,18,8,19,19,19,19,19,19
56727,3,7,18,19,19,19,18,8,1
416959,19,19,19,19,19,19,19,19,19
49036,19,19,19,19,19,19,3,1,7
26235,19,19,19,19,19,19,19,19,19
440482,19,19,19,5,6,18,19,19,19
55551,6,18,8,9,6,0,6,16,13
16784,3,6,7,6,0,16,19,19,19
38470,1,0,6,13,4,16,19,19,19
272256,18,0,3,19,19,19,1,15,6
193171,19,19,19,6,18,8,19,19,19
155447,11,0,16,19,19,19,19,19,19
5071,6,5,1,6,3,14,19,19,19
200171,3,12,14,6,14,3,6,14,3
220720,19,19,19,19,19,19,19,19,19
32066,6,14,3,14,6,10,6,3,10
71074,19,19,19,19,19,19,19,19,19
58719,19,19,19,0,3,8,19,19,19
399758,6,4,0,19,19,19,19,19,19
387264,11,18,8,19,19,19,19,19,19
70802,3,12,18,6,3,16,5,18,8
282263,10,6,4,3,18,8,19,19,19
105795,5,18,8,19,19,19,19,19,19
51541,0,11,16,19,19,19,19,19,19
51618,6,14,17,16,4,6,6,16,1
409901,19,19,19,19,19,19,19,19,19
213041,18,6,13,0,11,1,19,19,19
271042,19,19,19,19,19,19,19,19,19
260941,6,5,18,19,19,19,19,19,19
32005,0,16,13,6,16,14,19,19,19
30719,6,14,4,14,3,6,6,16,14
155142,5,12,18,19,19,19,19,19,19
128939,5,18,1,4,6,18,19,19,19
418445,0,11,8,19,19,19,18,8,1
365407,5,6,15,19,19,19,11,17,18
40456,6,4,7,6,18,16,19,19,19
112762,19,19,19,19,19,19,19,19,19
308453,19,19,19,19,19,19,14,3,6
15247,6,16,0,6,16,3,11,18,8
86848,0,15,1,19,19,19,3,18,8
390940,19,19,19,19,19,19,19,19,19
25436,18,8,1,19,19,19,19,19,19
87936,6,3,18,14,3,6,6,16,1
110521,19,19,19,19,19,19,19,19,19
118135,5,3,6,19,19,19,14,6,18
270010,6,9,8,3,6,14,19,19,19
368153,6,16,14,6,18,8,19,19,19
431234,3,11,18,19,19,19,18,8,1
255390,19,19,19,19,19,19,19,19,19
216753,6,3,9,19,19,19,19,19,19
66448,3,6,16,6,0,3,3,4,6
408555,19,19,19,19,19,19,19,19,19
404099,5,18,8,19,19,19,19,19,19
78475,19,19,19,6,3,8,6,3,14
388584,19,19,19,19,19,19,6,18,8
357759,18,8,1,19,19,19,19,19,19
124115,6,14,3,3,14,12,3,14,6
117749,19,19,19,19,19,19,19,19,19
439524,19,19,19,16,13,11,19,19,19
240750,3,6,13,3,18,8,14,3,4
212551,18,3,0,3,6,14,3,8,18
329255,5,18,8,19,19,19,19,19,19
370478,11,6,16,3,18,8,19,19,19
144279,6,0,16,6,3,16,6,3,11
124593,3,18,8,3,18,8,3,18,8
255977,6,14,9,6,14,16,14,9,6
434449,3,14,9,19,19,19,3,6,18
263962,19,19,19,19,19,19,6,14,3
216068,6,14,3,3,14,12,3,8,18
317244,2,3,7,2,15,7,2,3,18
42089,19,19,19,14,6,12,19,19,19
406561,19,19,19,19,19,19,19,19,19
76678,3,18,8,18,8,1,19,19,19
410069,19,19,19,19,19,19,19,19,19
33988,11,16,15,19,19,19,19,19,19
65852,0,3,8,0,3,4,0,3,8
333663,0,16,3,16,6,15,18,6,1
262476,19,19,19,6,18,8,6,7,18
282332,6,3,4,19,19,19,19,19,19
275325,19,19,19,19,19,19,19,19,19
422999,19,19,19,19,19,19,19,19,19
220297,6,3,14,18,4,0,18,16,3
18937,3,0,1,3,14,6,19,19,19
332156,3,6,18,19,19,19,19,19,19
70765,19,19,19,19,19,19,19,19,19
8442,6,18,8,19,19,19,19,19,19
22578,8,1,14,6,3,1,3,14,12
344070,0,9,6,0,9,1,0,11,1
25670,16,13,6,18,14,6,6,14,18
261477,0,9,6,0,4,6,0,9,1
370213,19,19,19,19,19,19,19,19,19
381553,19,19,19,19,19,19,19,19,19
345950,19,19,19,8,3,12,19,19,19
196345,3,4,0,19,19,19,19,19,19
96163,4,6,18,19,19,19,6,18,8
227433,19,19,19,0,3,8,19,19,19
99925,11,18,16,16,6,18,19,19,19
149085,0,3,6,19,19,19,14,9,6
359686,19,19,19,6,4,18,14,6,3
82076,19,19,19,19,19,19,19,19,19
410698,18,6,1,1,0,10,18,1,0
239853,3,6,14,6,9,13,9,3,1
361066,5,18,8,19,19,19,19,19,19
287007,6,14,3,6,14,12,8,3,18
301049,19,19,19,3,18,8,16,14,11
45944,19,19,19,19,19,19,19,19,19
28261,11,18,8,16,4,6,16,13,6
57626,6,18,8,19,19,19,19,19,19
359584,19,19,19,19,19,19,6,18,8
354710,19,19,19,19,19,19,19,19,19
64222,16,6,9,11,9,3,19,19,19
270692,19,19,19,19,19,19,19,19,19
230295,16,3,4,6,7,16,19,19,19
222240,19,19,19,19,19,19,19,19,19
346662,6,16,0,19,19,19,19,19,19
48773,0,9,16,0,4,16,19,19,19
306709,19,19,19,19,19,19,19,19,19
318847,6,17,18,19,19,19,19,19,19
402592,19,19,19,19,19,19,19,19,19
53150,19,19,19,19,19,19,19,19,19
7511,14,3,18,3,14,6,16,6,18
305038,4,6,18,19,19,19,19,19,19
167580,18,8,1,9,6,8,19,19,19
358543,19,19,19,19,19,19,19,19,19
257896,6,5,9,19,19,19,19,19,19
342100,19,19,19,19,19,19,19,19,19
70581,6,16,4,6,0,16,14,6,18
212143,3,12,6,18,0,14,6,14,3
250204,19,19,19,3,0,15,3,11,18
39257,19,19,19,19,19,19,19,19,19
15775,14,3,6,6,16,14,19,19,19
43723,6,8,7,16,6,18,14,6,18
438794,6,18,8,19,19,19,19,19,19
8265,3,18,8,3,6,1,3,14,18
5156,6,3,14,19,19,19,19,19,19
230958,6,0,16,6,14,0,19,19,19
287437,4,18,8,19,19,19,19,19,19
27114,6,4,16,6,4,13,6,0,8
317981,18,8,1,16,3,18,19,19,19
9025,5,6,9,6,18,8,19,19,19
357400,2,0,8,19,19,19,19,19,19
416454,18,8,1,19,19,19,19,19,19
48210,6,14,10,6,3,4,19,19,19
48484,6,3,14,14,3,6,18,3,12
12279,0,16,11,0,16,14,0,3,6
99768,6,9,16,19,19,19,19,19,19
140632,19,19,19,19,19,19,7,14,4
35756,19,19,19,19,19,19,19,19,19
319137,19,19,19,19,19,19,19,19,19
140712,14,3,6,19,19,19,19,19,19
48131,6,3,9,6,14,9,6,3,11
261682,11,6,0,18,8,1,0,8,1
47898,6,0,3,0,16,3,19,19,19
66194,19,19,19,11,16,0,19,19,19
39995,8,3,11,6,18,8,18,8,1
267288,19,19,19,19,19,19,6,7,18
171816,6,9,14,0,3,4,19,19,19
425131,3,6,18,3,11,8,3,8,7
10918,19,19,19,19,19,19,19,19,19
409713,6,14,3,19,19,19,6,14,3
323199,19,19,19,19,19,19,19,19,19
185567,16,1,0,16,6,18,6,0,16
236149,2,7,18,2,3,7,19,19,19
175715,19,19,19,3,0,1,18,8,1
268536,6,3,5,14,3,5,8,3,7
859,6,3,14,3,6,7,6,16,14
171540,19,19,19,9,3,6,6,16,3
45470,14,6,9,6,0,3,9,0,3
83620,6,14,3,6,17,9,19,19,19
185695,19,19,19,19,19,19,19,19,19
315414,10,0,6,18,8,1,18,8,1
345445,6,14,9,3,0,4,6,3,4
118733,6,0,4,0,9,16,0,6,8
322266,14,11,8,3,0,4,3,14,4
185640,19,19,19,0,8,1,19,19,19
37533,19,19,19,19,19,19,19,19,19
5753,0,16,11,6,11,0,3,11,18
33422,19,19,19,19,19,19,19,19,19
12150,19,19,19,19,19,19,19,19,19
82060,3,6,14,3,6,14,3,14,12
295128,6,3,14,6,3,7,6,14,3
114324,6,14,13,19,19,19,11,6,18
48328,3,6,14,3,6,14,3,6,16
397188,0,1,8,19,19,19,19,19,19
406017,18,8,1,19,19,19,19,19,19
425102,6,3,18,19,19,19,19,19,19
447737,18,8,1,19,19,19,11,16,18
172766,3,11,0,6,18,8,18,8,1
357864,6,3,8,6,9,16,6,16,9
360528,6,7,14,6,18,8,19,19,19
31553,19,19,19,19,19,19,19,19,19
85740,4,6,18,8,13,6,19,19,19
401148,2,1,8,19,19,19,19,19,19
13333,0,16,4,0,4,16,16,0,8
132139,3,14,18,19,19,19,19,19,19
79388,6,8,3,19,19,19,19,19,19
414564,6,16,18,19,19,19,19,19,19
361319,6,18,8,19,19,19,6,9,16
278636,6,15,7,19,19,19,19,19,19
29833,11,16,0,19,19,19,19,19,19
240691,6,3,12,18,8,1,19,19,19
37427,19,19,19,14,6,18,19,19,19
56382,11,16,15,6,3,9,19,19,19
